iter	Passed	Remaining
1271	2080	2826
1272	2081	2823
1273	2082	2821
1274	2083	2819
1275	2085	2817
1276	2087	2816
1277	2088	2814
1278	2089	2811
1279	2090	2809
1280	2092	2807
1281	2093	2805
1282	2094	2803
1283	2096	2801
1284	2097	2798
1285	2098	2796
1286	2099	2794
1287	2101	2792
1288	2102	2791
1289	2104	2789
1290	2105	2787
1291	2106	2785
1292	2108	2783
1293	2109	2781
1294	2110	2779
1295	2112	2777
1296	2113	2775
1297	2114	2773
1298	2116	2771
1299	2117	2769
1300	2119	2768
1301	2121	2766
1302	2122	2764
1303	2123	2762
1304	2125	2760
1305	2126	2758
1306	2128	2756
1307	2129	2754
1308	2130	2752
1309	2132	2750
1310	2133	2748
1311	2134	2746
1312	2136	2744
1313	2137	2742
1314	2139	2741
1315	2140	2739
1316	2142	2737
1317	2143	2735
1318	2145	2733
1319	2146	2731
1320	2147	2729
1321	2149	2728
1322	2151	2726
1323	2152	2724
1324	2153	2722
1325	2155	2720
1326	2156	2718
1327	2157	2716
1328	2159	2715
1329	2161	2713
1330	2163	2712
1331	2164	2710
1332	2166	2708
1333	2167	2707
1334	2169	2705
1335	2170	2703
1336	2171	2701
1337	2174	2700
1338	2176	2699
1339	2177	2697
1340	2179	2696
1341	2180	2694
1342	2182	2692
1343	2183	2690
1344	2185	2689
1345	2187	2688
1346	2188	2686
1347	2190	2684
1348	2192	2683
1349	2194	2682
1350	2196	2681
1351	2201	2683
1352	2204	2683
1353	2207	2683
1354	2210	2683
1355	2213	2683
1356	2218	2685
1357	2221	2686
1358	2224	2686
1359	2227	2686
1360	2230	2685
1361	2233	2685
1362	2235	2685
1363	2237	2684
1364	2239	2682
1365	2243	2683
1366	2246	2683
1367	2249	2683
1368	2253	2684
1369	2256	2684
1370	2259	2685
1371	2261	2683
1372	2263	2682
1373	2264	2680
1374	2267	2679
1375	2270	2679
1376	2272	2678
1377	2276	2679
1378	2278	2678
1379	2280	2677
1380	2283	2676
1381	2284	2674
1382	2285	2672
1383	2287	2670
1384	2288	2668
1385	2289	2666
1386	2291	2664
1387	2293	2663
1388	2294	2661
1389	2296	2659
1390	2297	2657
1391	2299	2655
1392	2300	2653
1393	2301	2651
1394	2303	2649
1395	2304	2647
1396	2305	2645
1397	2307	2643
1398	2308	2641
1399	2309	2639
1400	2311	2637
1401	2312	2635
1402	2313	2633
1403	2315	2632
1404	2317	2631
1405	2319	2629
1406	2320	2627
1407	2321	2625
1408	2323	2623
1409	2324	2621
1410	2325	2619
1411	2327	2617
1412	2328	2615
1413	2329	2613
1414	2331	2611
1415	2333	2610
1416	2334	2608
1417	2335	2606
1418	2337	2604
1419	2338	2601
1420	2339	2599
1421	2341	2598
1422	2342	2596
1423	2343	2594
1424	2345	2592
1425	2346	2590
1426	2349	2589
1427	2351	2588
1428	2352	2586
1429	2353	2584
1430	2355	2582
1431	2356	2580
1432	2358	2578
1433	2359	2576
1434	2361	2574
1435	2362	2573
1436	2365	2573
1437	2367	2571
1438	2368	2569
1439	2369	2567
1440	2370	2564
1441	2372	2563
1442	2374	2561
1443	2375	2559
1444	2376	2557
1445	2377	2555
1446	2378	2552
1447	2379	2550
1448	2381	2549
1449	2382	2547
1450	2384	2545
1451	2385	2542
1452	2386	2540
1453	2387	2539
1454	2389	2537
1455	2390	2535
1456	2391	2533
1457	2393	2531
1458	2394	2529
1459	2395	2527
1460	2397	2525
1461	2399	2523
1462	2400	2521
1463	2401	2519
1464	2402	2517
1465	2404	2515
1466	2405	2514
1467	2406	2511
1468	2408	2509
1469	2409	2507
1470	2410	2505
1471	2412	2503
1472	2414	2502
1473	2415	2500
1474	2416	2498
1475	2417	2496
1476	2419	2494
1477	2420	2492
1478	2421	2490
1479	2423	2488
1480	2424	2486
1481	2425	2484
1482	2426	2482
1483	2427	2480
1484	2429	2478
1485	2430	2476
1486	2431	2474
1487	2433	2472
1488	2434	2470
1489	2435	2468
1490	2437	2466
1491	2438	2464
1492	2440	2463
1493	2442	2461
1494	2443	2460
1495	2445	2458
1496	2447	2457
1497	2448	2455
1498	2450	2453
1499	2451	2451
1500	2453	2450
1501	2455	2448
1502	2456	2446
1503	2458	2445
1504	2460	2444
1505	2462	2442
1506	2464	2441
1507	2465	2439
1508	2467	2437
1509	2468	2435
1510	2469	2433
1511	2471	2431
1512	2472	2429
1513	2473	2427
1514	2474	2425
1515	2476	2424
1516	2477	2422
1517	2480	2421
1518	2481	2419
1519	2483	2417
1520	2484	2415
1521	2485	2414
1522	2487	2412
1523	2488	2410
1524	2489	2408
1525	2491	2406
1526	2492	2404
1527	2494	2402
1528	2495	2400
1529	2497	2399
1530	2498	2397
1531	2500	2395
1532	2501	2394
1533	2503	2392
1534	2504	2390
1535	2506	2388
1536	2508	2387
1537	2509	2385
1538	2511	2383
1539	2512	2382
1540	2514	2380
1541	2516	2379
1542	2517	2377
1543	2519	2375
1544	2521	2374
1545	2522	2372
1546	2524	2370
1547	2525	2369
1548	2527	2367
1549	2529	2366
1550	2530	2364
1551	2532	2362
1552	2533	2360
1553	2535	2358
1554	2536	2357
1555	2538	2355
1556	2539	2353
1557	2541	2351
1558	2542	2349
1559	2543	2348
1560	2545	2346
1561	2546	2344
1562	2548	2342
1563	2549	2340
1564	2551	2339
1565	2553	2338
1566	2555	2337
1567	2557	2335
1568	2558	2333
1569	2559	2331
1570	2561	2329
1571	2562	2328
1572	2564	2326
1573	2565	2324
1574	2566	2322
1575	2568	2320
1576	2569	2318
1577	2571	2317
1578	2573	2315
1579	2574	2313
1580	2575	2311
1581	2577	2310
1582	2578	2308
1583	2579	2306
1584	2581	2304
1585	2582	2302
1586	2584	2300
1587	2585	2299
1588	2587	2297
1589	2588	2295
1590	2590	2293
1591	2591	2291
1592	2592	2289
1593	2594	2288
1594	2595	2286
1595	2597	2284
1596	2598	2282
1597	2599	2280
1598	2601	2279
1599	2602	2277
1600	2604	2275
1601	2605	2273
1602	2606	2271
1603	2607	2269
1604	2609	2267
1605	2610	2266
1606	2612	2264
1607	2613	2262
1608	2614	2260
1609	2615	2258
1610	2617	2256
1611	2618	2254
1612	2620	2253
1613	2621	2251
1614	2623	2249
1615	2624	2247
1616	2626	2246
1617	2627	2244
1618	2628	2242
1619	2630	2240
1620	2631	2238
1621	2632	2236
1622	2633	2234
1623	2635	2232
1624	2637	2231
1625	2638	2229
1626	2639	2227
1627	2640	2225
1628	2642	2224
1629	2644	2222
1630	2645	2220
1631	2647	2218
1632	2648	2216
1633	2649	2214
1634	2650	2213
1635	2652	2211
1636	2653	2209
1637	2654	2207
1638	2656	2205
1639	2657	2203
1640	2658	2201
1641	2660	2200
1642	2661	2198
1643	2662	2196
1644	2664	2194
1645	2665	2192
1646	2667	2191
1647	2668	2189
1648	2670	2187
1649	2671	2185
1650	2672	2183
1651	2674	2182
1652	2675	2180
1653	2677	2178
1654	2678	2177
1655	2680	2175
1656	2681	2173
1657	2683	2172
1658	2685	2170
1659	2686	2168
1660	2687	2166
1661	2689	2165
1662	2691	2163
1663	2692	2161
1664	2694	2160
1665	2695	2158
1666	2696	2156
1667	2698	2155
1668	2700	2153
1669	2701	2151
1670	2702	2149
1671	2704	2147
1672	2705	2145
1673	2706	2143
1674	2707	2142
1675	2709	2140
1676	2710	2138
1677	2711	2136
1678	2713	2134
1679	2714	2132
1680	2716	2131
1681	2717	2129
1682	2719	2127
1683	2720	2125
1684	2721	2124
1685	2723	2122
1686	2724	2120
1687	2726	2118
1688	2727	2117
1689	2728	2115
1690	2730	2113
1691	2731	2111
1692	2732	2109
1693	2734	2107
1694	2735	2106
1695	2736	2104
1696	2738	2102
1697	2739	2100
1698	2740	2098
1699	2742	2097
1700	2743	2095
1701	2745	2093
1702	2746	2091
1703	2747	2089
1704	2748	2087
1705	2750	2086
1706	2751	2084
1707	2752	2082
1708	2753	2080
1709	2755	2078
1710	2756	2076
1711	2757	2074
1712	2759	2073
1713	2760	2071
1714	2761	2069
1715	2763	2067
1716	2764	2065
1717	2765	2063
1718	2767	2062
1719	2768	2060
1720	2769	2058
1721	2770	2056
1722	2772	2054
1723	2773	2052
